Player,Round,MC_mean,MC_std,MC_p5,MC_p25,MC_p75,MC_p95,lambda,n_samples,lambda_boot_mean,lambda_boot_std,lambda_boot_p5,lambda_boot_p95,lambda_boot_cv
Byron Buxton,1,15.1013,4.316692983060064,8.0,12.0,18.0,23.0,14.82949447631836,10000,15.065819320678711,1.812732671710533,12.526109266281129,18.201821517944335,0.12032088219871669
Byron Buxton,2,13.835138705416115,3.9978569738882626,8.0,11.0,17.0,21.0,13.674269676208496,3785,13.3531099319458,1.6576861702186614,10.71034870147705,16.121830940246582,0.12414232929011056
Byron Buxton,3,13.4996336996337,4.0658724214051185,7.0,11.0,16.0,20.799999999999955,12.486897468566895,1365,12.74279634475708,1.675896311892743,10.435911655426025,15.514841461181641,0.13151715420628823
Junior Caminero,1,17.1149,4.825463500017382,10.0,14.0,20.0,26.0,17.373985290527344,10000,17.124145832061767,2.4196958048914468,14.163462114334106,22.343996334075925,0.14130315337311702
Junior Caminero,2,15.98131010705861,4.607770667534583,9.0,13.0,19.0,24.0,16.304515838623047,5511,15.497250423431396,2.084592554584064,12.744129657745361,19.094178771972654,0.1345137038911251
Junior Caminero,3,16.407826982492278,4.729246731387959,9.0,13.0,19.0,25.0,16.599533081054688,2913,15.523803424835204,2.0183469326087624,12.987292289733887,19.109870147705077,0.1300162645308805
Jazz Chisholm Jr.,1,13.5207,3.9825333030622607,7.0,11.0,16.0,20.0,13.023407936096191,10000,13.5347430229187,1.604009480746642,10.87131700515747,16.023017978668214,0.11851052347506967
Jazz Chisholm Jr.,2,13.072649572649572,3.8876606494708086,7.0,10.0,16.0,20.0,12.364799499511719,2106,12.522224779129028,1.5753916431964716,10.094549655914307,15.16688380241394,0.1258076476811213
Jazz Chisholm Jr.,3,13.57709923664122,4.052679160686799,8.0,11.0,16.0,21.0,12.522306442260742,655,12.59986925125122,1.602878495435937,9.916912698745728,15.264314937591552,0.12721389908683095
Oneil Cruz,1,19.6656,5.062368678790592,12.0,16.0,23.0,28.0,19.038053512573242,10000,19.704616289138794,2.258708365588997,16.60515775680542,23.65400638580322,0.11462838618349545
Oneil Cruz,2,17.121957851801497,4.522105292403735,10.0,14.0,20.0,25.0,14.960445404052734,7355,17.016913022994995,1.863606213897764,14.404507493972778,20.504265403747556,0.10951494030553417
Oneil Cruz,3,17.445661700262928,4.548008687287898,10.0,14.0,20.0,25.0,15.095385551452637,4564,17.060624523162844,1.8853182382618758,14.381880760192871,20.607429695129394,0.11050698851628905
Matt Olson,1,16.2936,4.513446470270806,9.0,13.0,19.0,24.0,16.078664779663086,10000,16.27283242225647,2.0578536346685112,13.141234350204467,19.81186943054199,0.1264594620819649
Matt Olson,2,14.838774597495528,4.340462486713553,8.0,12.0,18.0,22.0,13.400245666503906,4472,14.447428674697877,1.8998495366261512,12.096742916107178,17.27340965270996,0.13150087668910956
Matt Olson,3,15.355095541401274,4.401157990522324,9.0,12.0,18.0,23.0,13.400245666503906,1884,14.535025005340577,1.942149508787025,11.781424474716186,17.38316888809204,0.13361858738278226
Cal Raleigh,1,18.411,4.755972981420311,11.0,15.0,21.0,27.0,19.36347198486328,10000,18.361093091964722,1.9326700612673964,15.25813694000244,21.261827754974366,0.10525898711951859
Cal Raleigh,2,16.501845610656396,4.345009677288119,10.0,13.0,19.0,24.0,16.994659423828125,6231,16.349725093841553,1.7589388577246254,13.932642936706543,19.17863759994507,0.10758216713913829
Cal Raleigh,3,16.837969601376543,4.490931908606126,10.0,14.0,20.0,25.0,17.21114158630371,3487,16.392779512405397,1.8147847307269136,14.080965185165406,19.14485216140747,0.11070634661764085
Brent Rooker,1,16.5954,4.452403714848868,10.0,14.0,19.0,24.0,15.353097915649414,10000,16.586341676712035,1.7235852294271279,14.001405096054077,19.413209533691408,0.10391593655924251
Brent Rooker,2,15.261531470120428,4.12004530272409,9.0,12.0,18.0,22.0,13.158658981323242,4401,14.950498113632202,1.648752419556491,12.255133581161498,17.702744483947754,0.11028076837474207
Brent Rooker,3,15.572568578553616,4.276403461962693,9.0,13.0,18.0,23.0,13.27734661102295,2005,15.038949842453002,1.6553802714393464,12.364392757415771,17.979801368713378,0.1100728633834806
James Wood,1,18.6008,4.886188633280545,11.0,15.0,22.0,27.0,19.051929473876953,10000,18.550813798904418,2.2262071276092126,15.375211715698242,22.29091577529907,0.12000590118265803
James Wood,2,15.800456100342075,4.37385051053077,9.0,13.0,19.0,23.0,14.429380416870117,6139,15.55866997718811,1.8447380622416685,13.217561674118041,18.846330833435058,0.1185665654549133
James Wood,3,16.142948512951712,4.517071410423593,9.0,13.0,19.0,24.0,14.429380416870117,3127,15.430178022384643,1.8979561961818447,12.711283493041993,19.060593223571775,0.12300287096030062
